Roll Call Number,Summary,Hot Button Status,Bill Text,Votes
Roll Call 76,"SB 35 proposes amendments to the provisions governing elementary and secondary education in Georgia, focusing on increasing flexibility in education, revising expenditure controls, and updating requirements for charter schools. The bill also repeals certain outdated regulations and establishes an effective date while addressing any conflicting laws.",potential hot button issue,"SB 35. By Senators Moody of the 56th, Carter of the 13th, Stephens of the 27th, Starr of the 44th, Hill of the 4th and others: A BILL to be entitled an Act to amend Chapter 2 of Title 20 of the O.C.G.A., relating to elementary and secondary education, so as to provide for the revision of certain provisions regarding education flexibility; to change certain provisions relating to expenditure controls for the 20052006 school year; to change certain provisions regarding program weights; to change certain provisions regarding legislative intent with respect to charter schools; to change certain provisions regarding minimum requirements for charter petitions; to repeal Code Section 20-2-2063.1; to change certain provisions regarding operation, control, and management requirements for charter schools; to amend Code Section 40-5-22; to provide for related matters; to provide an effective date; to repeal conflicting laws; and for other purposes. Mr. President: The House has passed, by substitute, by the requisite constitutional majority the following Bills of the Senate:","N Adelman Y Balfour N Brown Y Bulloch N Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas N Fort Y Goggans Y Golden Y Grant Y Hamrick E Harbison Y Harp Y Heath N Henson E Hill,Jack Y Hill,Judson N Hooks Y Hudgens Y Johnson N Jones Y Kemp N Me V Bremen N Miles E Moody Y Mullis Y Pearson N Powell N Reed Y Rogers Y Schaefer Y Seabaugh N Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens E Stoner N Tate Y Thomas,D N Thomas,R N Thompson,C N Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles Y Williams N Zamarripa"
Roll Call 79,"HB 244 proposes to update election-related laws in Georgia by allowing the Secretary of State to provide ballots in various media formats and clarifying definitions related to election governance. It also addresses candidate qualifying procedures, including how candidates must use their registered names, introduces training requirements for poll officers, and establishes penalties for election fraud.",potential hot button issue,"HB 244. By Representative Burmeister of the 119th: A BILL to be entitled an Act to amend Chapter 2 of Title 21 of the O.C.G.A., relating to primaries and elections generally, so as to amend certain definitions; to authorize the Secretary of State to provide copies of the general election ballot and questions on compact disc or other media or an Internet website; to clarify the meaning of governing authority; to authorize the Secretary of State to review ballots for use on DRE units; to provide for certain training for poll officers; to change municipal qualifying periods; to provide that a candidate shall use the surname shown on such candidate´s voter registration card when qualifying for office; to provide that the form of a candidate´s name cannot be changed after the candidate qualifies; to provide for the offense of conspiracy to commit election fraud; to provide for effective dates; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Wiles of the 37th. The Senate State and Local Governmental Operations Committee offered the following substitute to","N Adelman Y Balfour N Brown Y Bulloch E Hill,Jack Y Hill,Judson N Hooks Y Hudgens Y Smith E Starr Y Staton Y Stephens 404 2698 N Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas N Fort Y Goggans N Golden Y Grant Y Hamrick N Harbison Y Harp Y Heath N Henson E Johnson N Jones Y Kemp N Me V Bremen N Miles E Moody Y Mullis Y Pearson N Powell N Reed Y Rogers Y Schaefer Y Seabaugh N Seay Y Shafer,D N Stoner N Tate Y Thomas,D N Thomas,R N Thompson,C N Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles Y Williams N Zamarripa"
Roll Call 81,"HB 366 amends state law to allow certain alternative delivery systems to opt out of providing a public defender system for indigents under specific circumstances. The bill also includes corrections to legal references and provisions for related matters, while establishing an effective date and repealing conflicting laws.",potential hot button issue,"HB 366. By Representatives Murphy of the 23rd, Knox of the 24th, Amerson of the 9th, Hill of the 21st, Byrd of the 20th and others: A BILL to be entitled an Act to amend Chapter 12 of Title 17 of the Official Code of Georgia Annotated, relating to legal defense for indigents, so as to allow alternative delivery systems to opt out from having a public defender system under certain circumstances; to correct cross-references; to amend Code Section 15-21-77 of the Official Code of Georgia Annotated, relating to collections to be appropriated for indigent defense, to correct a cross-reference; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes. Senator Rogers of the 21st asked unanimous consent that the Senate adhere to its disagreement to the House amendment to the Senate amendment to","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant E Hamrick Y Harbison Y Harp Y Heath Y Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson E Jones Y Kemp Y Me V Bremen Y Miles E Moody N Mullis N Pearson Y Powell Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Smith E Starr Y Staton Y Stephens Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 83,"HB 254 aims to establish drug court divisions within certain courts in Georgia, detailing their jurisdiction, appointment of judges and other personnel, and the overall structure and operation of the drug court system. The bill also addresses related matters such as expenses, confidentiality, and coordination with other courts and agencies.",potential hot button issue,"HB 254. By Representatives Knox of the 24th, Keen of the 179th, Ralston of the 7th and Ehrhart of the 36th: A BILL to be entitled an Act to amend Chapter 1 of Title 15 of the O.C.G.A., relating to general provisions of courts, so as to authorize the establishment of drugs courts divisions within certain courts; to provide for assignment of certain cases to a drug court division; to provide for jurisdiction; to provide for judges and their appointment, designation, and terms; to provide for district attorneys, public defenders, a clerk, probation officers, and other employees; to authorize agreements with other courts and agencies for the assignment of personnel to such court; to authorize judges to complete a planned program of instruction; to provide for powers and duties of the drug court division; to provide for expenses; to provide for admissibility of certain matters in certain proceedings; to provide for access to certain information and confidentiality; to provide for costs; to provide for related matters; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Hamrick of the 30th. The Senate Judiciary Committee offered the following substitute to","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Y Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson E Jones Y Kemp Y Me V Bremen Y Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens Y Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 84,"SB 230 is a bill that amends Georgia's trade practices law to require information brokers to notify consumers of certain security breaches involving their personal information. It establishes definitions related to identity theft, outlines notification procedures in the event of a breach, and imposes civil fines for noncompliance, aiming to enhance consumer privacy and security.",potential hot button issue,"SB 230. By Senators Hamrick of the 30th, Grant of the 25th and Mullis of the 53rd: A BILL to be entitled an Act to amend Chapter 1 of Title 10 of the Official Code of Georgia Annotated, relating to selling and other trade practices, so as to provide definitions; to require investigative consumer reporting agencies to give notice to consumers of certain security breaches; to provide for related matters; to provide an effective date; to repeal conflicting laws; and for other purposes. The House substitute was as follows: TUESDAY, MARCH 29, 2005 2737 A BILL TO BE ENTITLED AN ACT To amend Chapter 1 of Title 10 of the Official Code of Georgia Annotated, relating to selling and other trade practices, so as to provide legislative findings; to provide definitions; to require information brokers to give notice to consumers of certain security breaches; to provide for rights of action by certain persons in the event of a security breach; to provide for a civil fine; to provide for related matters; to provide an effective date; to repeal conflicting laws; and for other purposes. BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA: SECTION 1. Chapter 1 of Title 10 of the Official Code of Georgia Annotated, relating to selling and other trade practices, is amended by adding a new Article 34 to read as follows: ARTICLE 34 10-1-910. The General Assembly finds and declares as follows: (1) The privacy and financial security of individuals is increasingly at risk due to the ever more widespread collection of personal information by both the private and public sectors; (2) Credit card transactions, magazine subscriptions, telephone numbers, real estate records, automobile registrations, consumer surveys, warranty registrations, credit reports, and Internet websites are all sources of personal information and form the source material for identity thieves; (3) Identity theft is one of the fastest growing crimes committed in this state. Criminals who steal personal information such as social security numbers use the information to open credit card accounts, write bad checks, buy cars, and commit other financial crimes with other people´s identities; (4) Identity theft is costly to the marketplace and to consumers; and (5) Victims of identity theft must act quickly to minimize the damage; therefore, expeditious notification of possible misuse of a person´s personal information is imperative. 10-1-911. As used in this article, the term: (1) 'Breach of the security of the system' means unauthorized acquisition of an individual´s file or computerized data that compromises the security, confidentiality, or integrity of personal information of such individual maintained by an information broker. Good faith acquisition of personal information by an employee or agent of an information broker for the purposes of such information broker is not a breach of the 424 2738 security of the system, provided that the personal information is not used or subject to further unauthorized disclosure. (2) 'File,' when used in connection with information on any individual, means all of the information on that individual recorded and retained by an information broker regardless of how the information is stored. (3) 'Information broker' means any person or entity who, for monetary fees or dues, engages in whole or in part in the practice of collecting, assembling, evaluating, compiling, reporting, transmitting, transferring, or communicating information concerning individuals for the purposes of furnishing personal information to third parties, but does not include any governmental agency whose records are maintained primarily for traffic safety, law enforcement, or licensing purposes. (4) 'Notice' means: (A) Written notice; (B) Electronic notice, if the notice provided is consistent with the provisions regarding electronic records and signatures set forth in Section 7001 of Title 15 of the United States Code; or (C) Substitute notice, if the information broker demonstrates that the cost of providing notice would exceed $250,000.00, that the affected class of individuals to be notified exceeds 500,000, or that the information broker does not have sufficient contact information to provide written or electronic notice to such individuals. Substitute notice shall consist of all of the following: (i) E-mail notice, if the information broker has an e-mail address for the individuals to be notified; (ii) Conspicuous posting of the notice on the information broker´s website page, if the information broker maintains one; and (iii) Notification to major state-wide media. Notwithstanding any provision of this paragraph to the contrary, an information broker that maintains its own notification procedures as part of an information security policy for the treatment of personal information and is otherwise consistent with the timing requirements of this article shall be deemed to be in compliance with the notification requirements of this article if it notifies the individuals who are the subjects of the notice in accordance with its policies in the event of a breach of the security of the system. (5) 'Person' means any individual, partnership, corporation, limited liability company, trust, estate, cooperative, association, or other entity. The term 'person' as used in this article shall not be construed to require duplicative reporting by any individual, corporation, trust, estate, cooperative, association, or other entity involved in the same transaction. (6) 'Personal information' means an individual´s first name or first initial and last name in combination with any one or more of the following data elements, when either the name or the data elements are not encrypted: (A) Social security number; TUESDAY, MARCH 29, 2005 2739 (B) Driver´s license number of an individual or number of an individual´s identification card issued pursuant to Article 5 of Chapter 5 of Title 40; (C) Account number, credit card number, or debit card number, in combination with any required security code, access code, or password that would permit access to an individual´s financial account; or (D) Other information collected, assembled, evaluated, compiled, reported, transmitted, transferred, or communicated concerning such individual. The term 'personal information' does not include publicly available information that is lawfully made available to the general public from federal, state, or local government records. 10-1-912. (a) Any information broker that owns or licenses files or computerized data that includes personal information of individuals shall give notice of any breach of the security of the system following discovery or notification of the breach in the security of the data to any resident of this state whose unencrypted personal information or file was, or is reasonably believed to have been, acquired by an unauthorized person. The notice shall be made within ten days following such discovery or notification. (b) Any information broker that maintains computerized data that includes personal information of individuals that the information broker does not own shall notify the owner or licensee of the information of any breach of the security of the data immediately following discovery, if the personal information was, or is reasonably believed to have been, acquired by an unauthorized person. (c) The notification required by this Code section may be delayed if a law enforcement agency determines that the notification will impede a criminal investigation. The notification required by this Code section shall be made after the law enforcement agency determines that it will not compromise the investigation. (d) The duty of an information broker to disclose a breach of the security of the system under this Code section shall apply to all such breaches occurring on and after the effective date of this article and any breaches that occurred within six months immediately prior to the effective date of this article. SECTION 2. This Act shall become effective upon its approval by the Governor or upon its becoming law without such approval. SECTION 3. All laws and parts of laws in conflict with this Act are repealed. Senator Hamrick of the 30th asked unanimous consent that the Senate disagree to the House substitute to","427 2744 Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Y Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Johnson E Jones Y Kemp Y Me V Bremen Y Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens Y Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 95,HB 613 proposes to extend the renewal period for bioptic drivers' licenses in Georgia from two years to four years and removes the requirement for a road test during the renewal process. The bill aims to streamline the licensing process for these drivers and includes provisions for related matters.,potential hot button issue,"HB 613. By Representatives Wix of the 33rd, Ehrhart of the 36th and Lord of the 142nd: A BILL to be entitled an Act to amend Code Section 40-5-27 of the Official Code of Georgia Annotated, relating to the examination of applicants for driver´s licenses, so as to change the renewal period of licenses for bioptic drivers from two to four years; to eliminate the need for a road test upon renewal; to provide for related matters; to provide an effective date; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Carter of the 13th. The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath E Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson E Jones Y Kemp Y Me V Bremen Y Miles E Moody Y Mullis Y Pearson Y Powell N Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Shafer,D Y Smith E Starr Y Staton Y Stephens Y Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles Williams Y Zamarripa"
Roll Call 97,"HB 106 aims to amend the definition of ""sexually violent offense"" within Georgia's state sexual offender registry law. The bill also includes provisions for related matters and seeks to repeal any conflicting laws.",potential hot button issue,"HB 106. By Representative Barnard of the 166th: A BILL to be entitled an Act to amend Code Section 42-1-12 of the Official Code of Georgia Annotated, relating to the state sexual offender registry, so as to change the definition of the term ""sexually violent offense""; to provide for related matters; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Hamrick of the 30th. The Senate Judiciary Committee offered the following substitute to","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath E Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson E Jones Y Kemp Y Me V Bremen Y Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens Y Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles E Williams Y Zamarripa"
Roll Call 98,"HB 236 proposes to amend Georgia's theft laws by establishing a rebuttable presumption that individuals who use false identification, provide false information, write bad checks, or return items improperly have obtained services or property with the intent to deceive and avoid payment. The bill aims to clarify penalties regarding such deceptive practices and to resolve any conflicting laws.",potential hot button issue,"HB 236. By Representatives Lane of the 158th, Stephens of the 164th, Barnard of the 166th and Burns of the 157th: A BILL to be entitled an Act to amend Article 1 of Chapter 8 of Title 16 of the Official Code of Georgia Annotated, relating to theft, so as to provide that a rebuttable presumption that services, accommodations, entertainment, or the use of personal property which is available only for compensation was knowingly obtained by deception and with intent to avoid payment shall arise upon a showing that the person obtaining such services, accommodations, entertainment, or the use of personal property used false identification, provided false information on a written contract, made any payment with an insufficient check, or returned any personal property to a place or at a time other than as agreed upon; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Carter of the 13th. The Senate Judiciary Committee offered the following substitute to","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Smith E Starr Y Staton Y Stephens Y Stoner TUESDAY, MARCH 29, 2005 Y Cagle Y Carter Y Chance Y Chapman Y Douglas N Fort Y Goggans Golden Y Grant Y Hamrick N Harbison Y Harp Y Heath E Henson E Jones Y Kemp Y Me V Bremen Y Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D 2939 Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles E Williams Y Zamarripa"
Roll Call 99,"HB 334 aims to amend existing laws regarding juvenile courts in Georgia by providing judicial salary supplements under specific circumstances. The bill includes provisions for related matters, effective dates, and the repeal of any conflicting laws.",potential hot button issue,"HB 334. By Representatives Mumford of the 95th, Ralston of the 7th and Mangham of the 94th: A BILL to be entitled an Act to amend Code Section 15-11-18 of the Official Code of Georgia Annotated, relating to creation of juvenile courts, terms and compensation of judges, state grants for judicial salaries, qualifications, presiding judge, practice of law, and actions by judges including administration and expenditures, so as to provide for judicial salary supplements under certain circumstances; to provide for related matters; to provide for effective dates; to provide for an automatic repealer; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Hamrick of the 30th. The report of the committee, which was favorable to the passage of the bill, was agreed to.","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Smith E Starr Y Staton Y Stephens Y Stoner 525 2940 Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Harbison Y Harp Y Heath E Henson E Jones Y Kemp Y Me V Bremen Y Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles E Williams Y Zamarripa"
Roll Call 101,"HB 495 amends the Teachers Retirement System of Georgia to allow individuals who retired on or before December 31, 2003, to return to full-time positions within local school systems without affecting their retirement benefits. The bill imposes a requirement that the local school system must pay the normal employer's contribution to the retirement system for any such re-employed retirees.",potential hot button issue,"HB 495. By Representatives Coleman of the 97th, Bridges of the 10th, Jamieson of the 28th, Cummings of the 16th and Jones of the 46th: A BILL to be entitled an Act to amend Article 7 of Chapter 3 of Title 47 of the O.C.G.A., relating to retirement allowances, disability benefits, and spouses´ benefits under the Teachers Retirement System of Georgia, so as to provide that a local school system may employ a person who was retired under the Teachers Retirement System of Georgia on December 31, 2003, in a full-time capacity in any position and such person´s retirement benefit shall not be affected; to provide that the employing local school system shall pay the normal employer´s contribution to the retirement system for such employee; to provide that any retired member of the Teachers Retirement System of Georgia may return to full-time employment with a local school system and such person´s retirement benefits shall not be affected; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Hudgens of the 47th. The following Fiscal Notes, as required by law, were read by the Secretary: DEPARTMENT OF AUDITS AND ACCOUNTS 254 Washington Street, S.W., Suite 214 Atlanta, Georgia 30334-8400 Russell W. Hinton State Auditor (404) 656-2174 February 8, 2005 The Honorable Brooks Coleman State Representative State Capitol, Room 416 Atlanta, Georgia 30334 527 2944 SUBJECT: State Auditor’s Certification House Bill 495 (LC 21 8160) Dear Representative Coleman: This bill would amend provisions relating to retirement benefits under the Teachers Retirement System. Specifically, this bill would authorize members who retired on or before December 31, 2003 to continue receiving benefits if they return to full-time service in any position with a local school board. Currently, persons who retired on or before such date may continue to receive benefits only if they return to work as a classroom teacher, principal, superintendent, counselor, or librarian. This is to certify that this is a nonfiscal retirement bill as defined in the Public Retirement Systems Standards Law. Respectfully, /s/ Russell W. Hinton State Auditor DEPARTMENT OF AUDITS AND ACCOUNTS 254 Washington Street, S.W., Suite 214 Atlanta, Georgia 30334-8400 Russell W. Hinton State Auditor (404) 656-2174 February 24, 2005 The Honorable Brooks Coleman State Representative State Capitol, Room 416 Atlanta, Georgia 30334 SUBJECT: State Auditor’s Certification","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Y Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath E Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson E Jones Y Kemp Y Me V Bremen Y Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Schaefer Y Seabaugh Y Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens Y Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman E Walker Y Weber Y Whitehead Y Wiles E Williams Y Zamarripa"
Roll Call 102,"SB 62 aims to establish the crime of initiating deceptive commercial e-mail in Georgia, including definitions, criminal penalties, and civil relief options. The bill also seeks to amend the state's racketeering laws and assign prosecution responsibilities to specific officials.",potential hot button issue,"SB 62. By Senators Shafer of the 48th, Staton of the 18th, Heath of the 31st and Hill of the 32nd: A BILL to be entitled an Act to provide for a short title; to provide for legislative findings; to amend Title 16 of the Official Code of Georgia Annotated, relating to computer systems protections, so as to add a new part to create the new crime of initiation of deceptive commercial e-mail; to provide for definitions; to provide for criminal penalties; to provide for civil relief and venue for civil proceedings; to provide for certain prosecuting officials to prosecute deceptive commercial e-mail; to provide for applicability; to provide for exceptions; to change provisions relating to THURSDAY, MARCH 31, 2005 2951 the definition of racketeering activity in the Georgia RICO Act; to provide for related matters; to repeal conflicting laws; and for other purposes.","N Adelman Y Balfour N Brown Y Bulloch N Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas N Fort Y Goggans N Golden Y Grant Y Hamrick N Harbison Y Harp Y Heath N Henson Y Hill,Jack Y Hill,Judson E Hooks Y Hudgens Y Johnson N Jones Y Kemp N Me V Bremen N Miles E Moody Y Mullis Y Pearson N Powell N Reed Y Rogers Y Schaefer Y Seabaugh N Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens N Stoner N Tate N Thomas,D N Thomas,R N Thompson,C N Thompson,S Y Tolleson Y Unterman Walker Y Weber Y Whitehead Y Wiles Y Williams E Zamarripa"
Roll Call 103,"HB 106 aims to amend the definition of ""sexually violent offense"" in Georgia's state sexual offender registry law. The bill also addresses related matters and repeals any conflicting laws.",potential hot button issue,"HB 106. By Representative Barnard of the 166th: A BILL to be entitled an Act to amend Code Section 42-1-12 of the Official Code of Georgia Annotated, relating to the state sexual offender registry, so as to change the definition of the term ""sexually violent offense""; to provide for related matters; to repeal conflicting laws; and for other purposes. The Speaker has appointed on the part of the House, Representatives Barnard of the166th, Cole of the 125th and Cox of the 102nd.","Y Adelman Y Balfour N Brown Y Bulloch N Butler Y Cagle Y Carter Y Chance Y Chapman Douglas N Fort Y Goggans Y Golden Y Grant Hamrick Y Harbison Y Harp Y Heath Y Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson N Jones Y Kemp Y Me V Bremen N Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh N Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens Stoner N Tate Y Thomas,D N Thomas,R Y Thompson,C N Thompson,S Y Tolleson Y Unterman Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 104,"SB 258 aims to provide various exemptions and provisions for service members, including exempting them and their spouses from jury duty, allowing service members with expired pharmacy licenses to practice while on active duty, and creating an honorary hunting and fishing license for returning veterans. The bill makes amendments to multiple sections of the Georgia Code to support these initiatives and address related regulations.",potential hot button issue,"SB 258. By Senators Douglas of the 17th, Staton of the 18th, Johnson of the 1st, Shafer of the 48th, Balfour of the 9th and others: A BILL to be entitled an Act to amend Code Section 15-12-1 of the O.C.G.A., relating to exemptions from jury duty, so as to provide that any service member on ordered military duty and his or her spouse may be exempt from jury duty; to amend Article 3 of Chapter 4 of Title 26 of the O.C.G.A., relating to the practice of pharmacy, so as to provide that a service member whose license expired while he or she was on duty outside the state may practice pharmacy on such expired license; to amend Code Section 27-2-4 of the O.C.G.A., relating to honorary hunting and fishing licenses, so as to provide for an honorary license for returning veterans; to amend Article 2 of Chapter 5 of Title 40 of the O.C.G.A.; to amend Chapter 1 of Title 43 of the O.C.G.A.; to amend Article 1 of Chapter 7 of Title 44 of the O.C.G.A.; to amend Article 1 of Chapter 5 of Title 46 of the O.C.G.A.; to repeal conflicting laws; and for other purposes. The Calendar was resumed.","Adelman Y Balfour N Brown Y Bulloch N Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Y Henson Y Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones Y Kemp Y Me V Bremen N Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens Stoner Y Tate Y Thomas,D N Thomas,R Y Thompson,C Y Thompson,S Y Tolleson Y Unterman Walker Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
Roll Call 105,"HB 320 aims to create the Georgia Health Insurance Risk Pool to provide an alternative coverage option for individual health insurance. The bill outlines the structure, governance, and responsibilities related to the risk pool, including the establishment of a risk pool board and the roles of the Commissioner of Insurance.",potential hot button issue,"HB 320. By Representatives Forster of the 3rd, Knox of the 24th, Meadows of the 5th, Dodson of the 75th, Watson of the 91st and others: A BILL to be entitled an Act to amend Title 33 of the O.C.G.A., relating to insurance, so as to create the Georgia Health Insurance Risk Pool; to provide THURSDAY, MARCH 31, 2005 3193 alternative mechanism coverage for the availability of individual health insurance; to provide definitions; to provide for a risk pool board; to provide for powers, duties, and authority of the board; to provide for the selection of an administrator; to provide for the duties of the Commissioner of Insurance with respect to the board and pool; to provide for the establishment of rates; to provide for eligibility for and termination of coverage; to provide for minimum pool benefits; to provide for funding and assessments; to provide for complaint procedures; to provide for audits; to provide for applicability; to provide for related matters; to repeal the Georgia High Risk Health Insurance Plan; to provide effective dates; to repeal conflicting laws; and for other purposes. Senate Sponsor: Senator Rogers of the 21st. The Senate Insurance and Labor Committee offered the following substitute to","Y Adelman Y Balfour Y Brown Y Bulloch Y Butler Y Cagle Y Carter Y Chance Y Chapman Y Douglas E Fort Y Goggans Y Golden Y Grant Y Hamrick Y Harbison Y Harp Y Heath Y Henson Hill,Jack Y Hill,Judson Y Hooks Y Hudgens Y Johnson Y Jones Y Kemp Y Me V Bremen N Miles E Moody Y Mullis Y Pearson Y Powell Y Reed Y Rogers Y Schaefer Y Seabaugh Y Seay Y Shafer,D Y Smith E Starr Y Staton Y Stephens Y Stoner Y Tate Y Thomas,D Y Thomas,R Y Thompson,C Y Thompson,S Tolleson Y Unterman Walker Y Weber Y Whitehead Y Wiles Y Williams Y Zamarripa"
